business_id,phone_number,name,full_address,latitude,longitude,review_count,rating,timezone,website,place_id,place_link,types,price_level,city,photos,state,description,working_hours.Sunday,working_hours.Monday,working_hours.Tuesday,working_hours.Wednesday,working_hours.Thursday,working_hours.Friday,working_hours.Saturday,working_hours
0x3a3942c853cfb859:0x3ff855b6be04af6d,+918912562222,Bombay Restaurant,"Bombay Restaurant, 31-32-75 Gantasala Marg Ladies Gate, Beside, Jothee Theatre Rd, Daba Gardens, Visakhapatnam, Andhra Pradesh 530020, India",17.714066199999998,83.2972881,3994.0,3.8,Asia/Calcutta,,ChIJWbjPU8hCOToRba8EvrZV-D8,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x3a3942c853cfb859:0x3ff855b6be04af6d,"['Indian restaurant', 'Non vegetarian restaurant']",$$,"Visakhapatnam, Andhra Pradesh, India","[{'src': 'https://lh5.googleusercontent.com/p/AF1QipMzmiKGe_uWNZsXOm1K572yf3fMhqQU_iQcLWhw=w203-h167-k-no', 'max_size': [3024, 2492], 'min_size': [203, 100]}, {'src': 'https://lh5.googleusercontent.com/p/AF1QipN4cDlfW1PQbeAz4GhC2vA_yGiZYSuCm-yBG_I5=w203-h270-k-no', 'max_size': [6000, 8000], 'min_size': [203, 100]}, {'src': 'https://lh5.googleusercontent.com/p/AF1QipMjdYuYjs52Dtyt4MyfkOCw_2PpckZPkXM0YtrC=w203-h152-k-no', 'max_size': [4624, 3472], 'min_size': [203, 100]}, {'src': 'https://lh5.googleusercontent.com/p/AF1QipMYRRQXbF2kKocBIbdVYItqQ7Uth1QNONOdAPk5=w203-h152-k-no', 'max_size': [8000, 6000], 'min_size': [203, 100]}, {'src': 'https://lh5.googleusercontent.com/p/AF1QipNGDzZRAz8oAJfq6E5y-8nnRdB8Xsd9B1Xz8MyB=w203-h151-k-no', 'max_size': [4000, 2992], 'min_size': [203, 100]}, {'src': 'https://lh5.googleusercontent.com/p/AF1QipPa9NFsX5Kg47VWdTunnUodfPnheedoLVOB3nrt=w203-h114-k-no', 'max_size': [4608, 2592], 'min_size': [203, 100]}, {'src': 'https://lh5.googleusercontent.com/p/AF1QipNhUHf65y5W6GrniJIGmp52bF3iTka5Snb3Hsg3=w203-h270-k-no', 'max_size': [3024, 4032], 'min_size': [203, 100]}, {'src': 'https://lh5.googleusercontent.com/p/AF1QipP0E20MKZUfPltGZqe1lJ_sC8l5d1-MS7HTrCPT=w203-h270-k-no', 'max_size': [3024, 4032], 'min_size': [203, 100]}, {'src': 'https://lh5.googleusercontent.com/p/AF1QipMRHYKyLmCWDhcW3Hz0AYniIqmae4u-eQR64eM_=w203-h114-k-no', 'max_size': [1920, 1080], 'min_size': [203, 100]}]",Open ⋅ Closes 11 PM,"['Hearty rice dishes in an unfussy space', 'Unpretentious destination offering generous rice specialties & a take-out option.']","['11\u202fAM–3:30\u202fPM', '6:30–11\u202fPM']","['11\u202fAM–3:30\u202fPM', '6:30–11\u202fPM']","['11\u202fAM–3:30\u202fPM', '6:30–11\u202fPM']","['11\u202fAM–3:30\u202fPM', '6:30–11\u202fPM']","['11\u202fAM–3:30\u202fPM', '6:30–11\u202fPM']","['11\u202fAM–3:30\u202fPM', '6:30–11\u202fPM']","['11\u202fAM–3:30\u202fPM', '6:30–11\u202fPM']",
0x3a39431f599b3901:0x23368c02502a97e6,+919390219693,"Kanhaji Restaurant, Visakhapatnam","Kanhaji Restaurant, Visakhapatnam, Navship House, NSN Towers, # 31-1-29/2, Allipuram Main Rd, Bangaramma Metta, Vivekananda Colony, Allipuram, Visakhapatnam, Andhra Pradesh 530004, India",17.7200527,83.298037,1927.0,4.1,Asia/Calcutta,facebook.com,ChIJATmbWR9DOToR5pcqUAKMNiM,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x3a39431f599b3901:0x23368c02502a97e6,"['Restaurant', 'Chinese restaurant', 'Family restaurant', 'North Indian restaurant', 'Rajasthani restaurant', 'Vegetarian restaurant']",$$,"Visakhapatnam, Andhra Pradesh, India","[{'src': 'https://lh5.googleusercontent.com/p/AF1QipMdmd52NZ6ptWlweK4WgYC6uwgQuD_RtLRNzWVm=w203-h114-k-no', 'max_size': [1920, 1080], 'min_size': [203, 100]}, {'src': 'https://lh5.googleusercontent.com/p/AF1QipNMSxoH7BoQd1MyKiuUamRsRMd2Mepb9wyS6qqk=w203-h114-k-no', 'max_size': [1920, 1080], 'min_size': [203, 100]}, {'src': 'https://lh5.googleusercontent.com/p/AF1QipMp-sxt4t6QjT7sUmloEQDQ6FoB0xGn3_1TcgyY=w203-h152-k-no', 'max_size': [9248, 6936], 'min_size': [203, 100]}, {'src': 'https://lh5.googleusercontent.com/p/AF1QipN8l7JzXXVgbfR_2kmiV2-EFLOfOi8yHnsVADnR=w203-h152-k-no', 'max_size': [4128, 3096], 'min_size': [203, 100]}, {'src': 'https://lh5.googleusercontent.com/p/AF1QipP48uMWUmZV529Xerh469ibbKsCKGpQMf19KEQo=w203-h270-k-no', 'max_size': [3024, 4032], 'min_size': [203, 100]}, {'src': 'https://lh5.googleusercontent.com/p/AF1QipPd15wJA8HsFQC-KaqNxsWeI85xNzHVZYsd4TDR=w203-h152-k-no', 'max_size': [4160, 3120], 'min_size': [203, 100]}, {'src': 'https://lh5.googleusercontent.com/p/AF1QipMe3O8KaDnrENe4fyyyO1vcYbefCfywqe-dX2fY=w203-h270-k-no', 'max_size': [6936, 9248], 'min_size': [203, 100]}, {'src': 'https://lh5.googleusercontent.com/p/AF1QipPQ7jh6xK_B2qQTaITb6M9PS9pYc9wuE9LpkXxp=w203-h270-k-no', 'max_size': [3024, 4032], 'min_size': [203, 100]}, {'src': 'https://lh5.googleusercontent.com/p/AF1QipOgCEFOuPMW2qFn8eTas4KzTUynIxs1l738Uvb0=w203-h152-k-no', 'max_size': [4128, 3096], 'min_size': [203, 100]}]",Open ⋅ Closes 11 PM,"['All-you-can-eat regional & Chinese meals', 'North Indian & Chinese vegetarian buffet offered in a simple, family-friendly setting.']",['11\u202fAM–11\u202fPM'],['11\u202fAM–11\u202fPM'],['11\u202fAM–11\u202fPM'],['11\u202fAM–11\u202fPM'],['11\u202fAM–11\u202fPM'],['11\u202fAM–11\u202fPM'],['11\u202fAM–11\u202fPM'],
0x3a3942e03976b615:0x9d2daa123b2ad1bc,+918912560416,Kaalinga Restaurant,"Kaalinga Restaurant, 33-1-55, Patel Marg, Railway Station Rd, Nerella Koneru, Mahaarajupeta, Visakhapatnam, Andhra Pradesh 530004, India",17.7183709,83.29230419999999,1918.0,4.0,Asia/Calcutta,,ChIJFbZ2OeBCOToRvNEqOxKqLZ0,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x3a3942e03976b615:0x9d2daa123b2ad1bc,"['South Indian restaurant', 'Breakfast restaurant', 'Vegetarian restaurant']",$$,"Visakhapatnam, Andhra Pradesh, India","[{'src': 'https://lh5.googleusercontent.com/p/AF1QipPEYT2lFgIC1sSfcrG74Le2ILzJtOH0Hhic2YC0=w203-h152-k-no', 'max_size': [4000, 3000], 'min_size': [203, 100]}, {'src': 'https://lh5.googleusercontent.com/p/AF1QipN2bAF_54MIHy1vjh9eJU884eCDrUv1ISlH_ADE=w203-h101-k-no', 'max_size': [3264, 1632], 'min_size': [203, 100]}, {'src': 'https://lh5.googleusercontent.com/p/AF1QipOcisOcrwzjAryiUEyZdmfOF6h6jnKX5ej3NquU=w203-h152-k-no', 'max_size': [4032, 3024], 'min_size': [203, 100]}, {'src': 'https://lh5.googleusercontent.com/p/AF1QipO7oSukBY4MHpJvmnBwR_0SZpGs4DdLT-hjPYBZ=w203-h152-k-no', 'max_size': [4624, 3468], 'min_size': [203, 100]}, {'src': 'https://lh5.googleusercontent.com/p/AF1QipO6vQqxG--yL8sVFA1V5lZnGa4g8RfVKmbgS2WU=w203-h152-k-no', 'max_size': [4624, 3468], 'min_size': [203, 100]}, {'src': 'https://lh5.googleusercontent.com/p/AF1QipMtefkjiAi1K17IVbK0scNNj2m2iEIi-PllY-_6=w203-h151-k-no', 'max_size': [5760, 4312], 'min_size': [203, 100]}, {'src': 'https://lh5.googleusercontent.com/p/AF1QipMeA4qQxdJ5PkPSrC0RkcOym5ffB2btbqOTHbP6=w203-h360-k-no', 'max_size': [2268, 4032], 'min_size': [203, 100]}, {'src': 'https://lh5.googleusercontent.com/p/AF1QipO97A_QREOUvMM_H8FsCAUodkAExJYiuvbntyYm=w203-h270-k-no', 'max_size': [3468, 4624], 'min_size': [203, 100]}, {'src': 'https://lh5.googleusercontent.com/p/AF1QipM3q9JbrUdprdfO0K6D9ykH8h84vYL9puNoqvzE=w203-h270-k-no', 'max_size': [3468, 4624], 'min_size': [203, 100]}]",Open ⋅ Closes 10 PM,[],['6\u202fAM–10\u202fPM'],['6\u202fAM–10\u202fPM'],['6\u202fAM–10\u202fPM'],['6\u202fAM–10\u202fPM'],['6\u202fAM–10\u202fPM'],['6\u202fAM–10\u202fPM'],['6\u202fAM–10\u202fPM'],
0x3a39431979c7d1db:0x139a4996f502166e,+919347162019,Ganapati Family Restaurant Vishakhapatnam,"Ganapati Family Restaurant Vishakhapatnam, 31-32-74, Beside Jothee Theatre Ladies Gate, behind Dolphin hotel, Daba Gardens, Visakhapatnam, Andhra Pradesh 530020, India",17.714005999999998,83.297507,527.0,4.1,Asia/Calcutta,business.site,ChIJ29HHeRlDOToRbhYC9ZZJmhM,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x3a39431979c7d1db:0x139a4996f502166e,"['Rajasthani restaurant', 'North Indian restaurant', 'Vegetarian restaurant']",,"Visakhapatnam, Andhra Pradesh, India","[{'src': 'https://lh5.googleusercontent.com/p/AF1QipOII1D9LIQPeFVtysYOxJZg5pYOy7K-sli6gosP=w203-h114-k-no', 'max_size': [1440, 810], 'min_size': [203, 100]}, {'src': 'https://lh5.googleusercontent.com/p/AF1QipOcCIK1jYtiXGTJphqvRTBrMTtt8kwrLBK2aFfg=w203-h114-k-no', 'max_size': [1440, 810], 'min_size': [203, 100]}, {'src': 'https://lh5.googleusercontent.com/p/AF1QipP84GdOVEzCFlaAmePuB9UrlJ0Fibx4bgqbkSSC=w203-h114-k-no', 'max_size': [720, 405], 'min_size': [203, 100]}, {'src': 'https://lh5.googleusercontent.com/p/AF1QipMHNmMpNtpERrDgdKm1-C7wtPIJD0NPPJs6NiKZ=w203-h152-k-no', 'max_size': [4608, 3456], 'min_size': [203, 100]}, {'src': 'https://lh5.googleusercontent.com/p/AF1QipPFleevRY7eSQI92Gnb_Xprua2C3_LPn4E7raiy=w203-h152-k-no', 'max_size': [4624, 3472], 'min_size': [203, 100]}, {'src': 'https://lh5.googleusercontent.com/p/AF1QipMNT66cZPx4Gpy16AQDHwhdstqvcAWCfkxlUMnR=w203-h152-k-no', 'max_size': [4000, 3000], 'min_size': [203, 100]}, {'src': 'https://lh5.googleusercontent.com/p/AF1QipNqg_KEyS_5qRb1GyapUillTCSFPBXzrlFDPJ4V=w203-h152-k-no', 'max_size': [8000, 6000], 'min_size': [203, 100]}, {'src': 'https://lh5.googleusercontent.com/p/AF1QipMX9OJqkD1Ycg4s2kDA5ROzOfZDYIXfXCxDIQbP=w203-h152-k-no', 'max_size': [8000, 6000], 'min_size': [203, 100]}, {'src': 'https://lh5.googleusercontent.com/p/AF1QipMmHwobO1egRiroD4dZdjOC0MaeTopZW8OMVdKm=w203-h270-k-no', 'max_size': [3024, 4032], 'min_size': [203, 100]}]",Open ⋅ Closes 11 PM,"['Chill stop for regional veggie staples', 'Unassuming eatery dishing up familiar vegetarian specialities & thali, plus sweets.']",['9\u202fAM–11\u202fPM'],['9\u202fAM–11\u202fPM'],['9\u202fAM–11\u202fPM'],['9\u202fAM–11\u202fPM'],['9\u202fAM–11\u202fPM'],['9\u202fAM–11\u202fPM'],['9\u202fAM–11\u202fPM'],
0x3a394320a6ea13e3:0xda8aaffe779c2486,+917013015860,Dhanvin Restaurant,"Dhanvin Restaurant, Railway Quarters, Railway New Colony, Visakhapatnam, Andhra Pradesh 530004, India",17.7249891,83.2916712,36.0,4.2,Asia/Calcutta,dhanvinretaurants.com,ChIJ4xPqpiBDOToRhiScd_6vito,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x3a394320a6ea13e3:0xda8aaffe779c2486,['Indian restaurant'],,"Visakhapatnam, Andhra Pradesh, India","[{'src': 'https://lh5.googleusercontent.com/p/AF1QipMuc9weTyoQcg4Lp-b3K9JCBksIzmjiW9ngTKkz=w203-h114-k-no', 'max_size': [4000, 2256], 'min_size': [203, 100]}, {'src': 'https://lh5.googleusercontent.com/p/AF1QipMW_JOU3QVctvCAurTs2_oo72RENB7JbRDQRzxt=w203-h152-k-no', 'max_size': [4000, 3000], 'min_size': [203, 100]}, {'src': 'https://lh5.googleusercontent.com/p/AF1QipNNK3nnFV_0SXOLqjfMROBIFtH93dfGMYfGAGLF=w203-h152-k-no', 'max_size': [4000, 3000], 'min_size': [203, 100]}, {'src': 'https://lh5.googleusercontent.com/p/AF1QipOGcJ5CwvubOCdfCB_4XRtlyteo8Zth5vnhsOoX=w222-h100-k-no', 'max_size': [4624, 2080], 'min_size': [203, 100]}, {'src': 'https://lh5.googleusercontent.com/p/AF1QipPZhWKMJLdriPkuXjtatcaA1DRq0BTjHBCjXrvM=w203-h114-k-no', 'max_size': [4000, 2256], 'min_size': [203, 100]}, {'src': 'https://lh5.googleusercontent.com/p/AF1QipOET1WusIccg1eaHp5GvZuARR88D5WYT0Ve5sG0=w203-h152-k-no', 'max_size': [4000, 3000], 'min_size': [203, 100]}, {'src': 'https://lh5.googleusercontent.com/p/AF1QipPO1l1Icb_2cBfkLV8TpW-2iGuuunGK3loYr3zn=w203-h152-k-no', 'max_size': [4608, 3456], 'min_size': [203, 100]}, {'src': 'https://lh5.googleusercontent.com/p/AF1QipNQXFap9DE0GKPYdY7HWltRR1cNmzZa_Wbv3ABY=w203-h152-k-no', 'max_size': [4000, 3000], 'min_size': [203, 100]}, {'src': 'https://lh5.googleusercontent.com/p/AF1QipN9eHkYIPp9toKJXdis0K_G0hqXP8rb4WQZ1faU=w203-h152-k-no', 'max_size': [4608, 3456], 'min_size': [203, 100]}]",Open 24 hours,[],['Open 24 hours'],['Open 24 hours'],['Open 24 hours'],['Open 24 hours'],['Open 24 hours'],['Open 24 hours'],['Open 24 hours'],
0x3a39431c2f99d95f:0x83a78ba8f3da37f0,,Manasa A/C Restaurant,"Manasa A/C Restaurant, Near Sangeet & Geeth Theatre, Allipuram Main Rd, Visakhapatnam, Andhra Pradesh 530020, India",17.713936399999998,83.29668219999999,285.0,4.1,Asia/Calcutta,,ChIJX9mZLxxDOToR8Dfa86iLp4M,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x3a39431c2f99d95f:0x83a78ba8f3da37f0,"['Biryani restaurant', 'Indian restaurant']",,"Visakhapatnam, Andhra Pradesh, India","[{'src': 'https://lh5.googleusercontent.com/p/AF1QipMuLt9PLIRPSSaDhhl9oKm6ByDvhC-L9yApmfgG=w203-h150-k-no', 'max_size': [4208, 3120], 'min_size': [203, 100]}, {'src': 'https://lh5.googleusercontent.com/p/AF1QipONp7l1Ij8xTAHFs1wXHgvTUmHGjR8cecwtgfN2=w203-h247-k-no', 'max_size': [1080, 1317], 'min_size': [203, 100]}, {'src': 'https://lh5.googleusercontent.com/p/AF1QipP_1TO5nDFQSfAbVQ0tXfzTgDxmWtAaY2s9Yp27=w203-h270-k-no', 'max_size': [1200, 1600], 'min_size': [203, 100]}, {'src': 'https://lh5.googleusercontent.com/p/AF1QipPdKYDdDBwIvHSYzi3I4OLpS40VdSeOoiCRzTVg=w203-h406-k-no', 'max_size': [2304, 4608], 'min_size': [203, 100]}, {'src': 'https://lh5.googleusercontent.com/p/AF1QipPi_RrMjc5TOwDnwDgb-JETQ0L20eayGyEWaj4t=w203-h240-k-no', 'max_size': [1080, 1280], 'min_size': [203, 100]}, {'src': 'https://lh5.googleusercontent.com/p/AF1QipNVspsIDCMpnM4X8HksIWjjnhRjrbn0-0Vtnyb9=w203-h198-k-no', 'max_size': [1080, 1056], 'min_size': [203, 100]}, {'src': 'https://lh5.googleusercontent.com/p/AF1QipN7duV1KmsSPDDmqL7YVxcGkAd2-XqDB5bKeHtv=w203-h270-k-no', 'max_size': [3024, 4032], 'min_size': [203, 100]}, {'src': 'https://lh5.googleusercontent.com/p/AF1QipM9fjsIHN8GcS2EaxTjRfQIaNCga4eL2Duxd0vJ=w203-h360-k-no', 'max_size': [1134, 2016], 'min_size': [203, 100]}, {'src': 'https://lh5.googleusercontent.com/p/AF1QipMe3Kt6FNNdF4EHJBaCslYc8UeBPNU1_-vV0keI=w203-h270-k-no', 'max_size': [3024, 4032], 'min_size': [203, 100]}]",Open ⋅ Closes 11 PM,[],['11\u202fAM–11\u202fPM'],['11\u202fAM–11\u202fPM'],['11\u202fAM–11\u202fPM'],['11\u202fAM–11\u202fPM'],['11\u202fAM–11\u202fPM'],['11\u202fAM–11\u202fPM'],['11\u202fAM–11\u202fPM'],
0x3a3943cd359935c7:0xb538ee4463e7dae9,+918977909356,SRI SAI AKSHAYA RESTAURANT,"SRI SAI AKSHAYA RESTAURANT, Telugu Talli Flyover, opp. DRM. Office, Mandavaripeta, Dondaparthy, Road, Visakhapatnam, Andhra Pradesh 530016, India",17.725471199999998,83.2994478,61.0,3.9,Asia/Calcutta,business.site,ChIJxzWZNc1DOToR6drnY0TuOLU,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x3a3943cd359935c7:0xb538ee4463e7dae9,['Restaurant'],,"Visakhapatnam, Andhra Pradesh, India","[{'src': 'https://lh5.googleusercontent.com/p/AF1QipN9tF3Czm2LVt6Ab-zVNycjowoxjM2KWFJ7wKCr=w222-h100-k-no', 'max_size': [4160, 1872], 'min_size': [203, 100]}, {'src': 'https://lh5.googleusercontent.com/p/AF1QipPeyV3UAN3wbvDBWrpJeig7qu09YOLlVT7oieDl=w222-h100-k-no', 'max_size': [4160, 1872], 'min_size': [203, 100]}, {'src': 'https://lh5.googleusercontent.com/p/AF1QipN30rYKwC9K4UkNtoQ0LbIz3iVRlr-0rmm5QX-j=w203-h406-k-no', 'max_size': [2000, 4000], 'min_size': [203, 100]}, {'src': 'https://lh5.googleusercontent.com/p/AF1QipNfmOaoUPZOHUfJCnmCjmQz21kJG0Ql8_PSkkyx=w203-h152-k-no', 'max_size': [1600, 1200], 'min_size': [203, 100]}, {'src': 'https://lh5.googleusercontent.com/p/AF1QipPsVl9Wh-y6wieG-rJEXRFkHOjRdYhxqYriOhpy=w203-h152-k-no', 'max_size': [1600, 1200], 'min_size': [203, 100]}, {'src': 'https://lh5.googleusercontent.com/p/AF1QipPSDo8F1YUKS0hKOjXQu0rmxRAIb_hybZwd_7Cf=w203-h360-k-no', 'max_size': [1080, 1920], 'min_size': [203, 100]}, {'src': 'https://lh5.googleusercontent.com/p/AF1QipMXOXtxeQekhNryzC9MbRBuBxdzJI7o98TqHTQ3=w203-h152-k-no', 'max_size': [1600, 1200], 'min_size': [203, 100]}, {'src': 'https://lh5.googleusercontent.com/p/AF1QipOl5QXbFIJul0ju2Exg5kI-y5e7mxaIdY1cRwgT=w203-h114-k-no', 'max_size': [4608, 2592], 'min_size': [203, 100]}, {'src': 'https://lh5.googleusercontent.com/p/AF1QipM9ZPgdsp6tcF80F19RtFI2SP--BowOO9353vgh=w203-h451-k-no', 'max_size': [1872, 4160], 'min_size': [203, 100]}]",Open ⋅ Closes 10:30 PM,[],['9\u202fAM–10:30\u202fPM'],['9\u202fAM–10:30\u202fPM'],['9\u202fAM–10:30\u202fPM'],['9\u202fAM–10:30\u202fPM'],['9\u202fAM–10:30\u202fPM'],['9\u202fAM–10:30\u202fPM'],['9\u202fAM–10:30\u202fPM'],
0x3a3942e722de836b:0x4e8f7641accf3502,,Punjabi Dhaba,"P79P+2RP Punjabi Dhaba, Gnanapuram, Visakhapatnam, Andhra Pradesh 530004, India",17.7175923,83.2870772,40.0,3.7,Asia/Calcutta,,ChIJa4PeIudCOToRAjXPrEF2j04,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x3a3942e722de836b:0x4e8f7641accf3502,"['Punjabi restaurant', 'Dhaba', 'Indian restaurant']",,"Visakhapatnam, Andhra Pradesh, India","[{'src': 'https://lh5.googleusercontent.com/p/AF1QipMSJwqyTy0mf_mzJA72Fep2QhGa_rGKHxMu6N_7=w203-h270-k-no', 'max_size': [3000, 4000], 'min_size': [203, 100]}, {'src': 'https://lh5.googleusercontent.com/p/AF1QipPJEw1CYgoSThUtyo7Mlx12MYIZ8k4KXMIJOEt6=w203-h114-k-no', 'max_size': [4000, 2256], 'min_size': [203, 100]}, {'src': 'https://lh5.googleusercontent.com/p/AF1QipPPSAWb6Qe2X69Zpe-RNWPGxAJSbYt_7fnrzGL7=w203-h152-k-no', 'max_size': [4608, 3456], 'min_size': [203, 100]}, {'src': 'https://lh5.googleusercontent.com/p/AF1QipNEWxlHY6MRTCoT0-aLlu37fZkMPP8z1Rui-9sG=w203-h152-k-no', 'max_size': [4032, 3024], 'min_size': [203, 100]}, {'src': 'https://lh5.googleusercontent.com/p/AF1QipOKL-z8REYpdPiGg9Rd6LaVFXf9cTDP5E_rmaNw=w203-h114-k-no', 'max_size': [4000, 2256], 'min_size': [203, 100]}, {'src': 'https://lh5.googleusercontent.com/p/AF1QipOuYr8SOs85fNbRdMf_gned2xfreLiMeIn72elY=w203-h114-k-no', 'max_size': [4000, 2256], 'min_size': [203, 100]}, {'src': 'https://lh5.googleusercontent.com/p/AF1QipMq9qYzbmgdmSj5WKi4trjhqNqM1vEHrY8ZwmNC=w203-h248-k-no', 'max_size': [540, 661], 'min_size': [203, 100]}, {'src': 'https://lh5.googleusercontent.com/p/AF1QipN_etiJX_QG2Mx9DmBxQmSWfBHNKhP2lVqmj3TE=w203-h114-k-no', 'max_size': [4000, 2256], 'min_size': [203, 100]}, {'src': 'https://lh5.googleusercontent.com/p/AF1QipNH9ybz4C688o2NxkM4EGReGT_Aj4JR8nR7k0Ys=w203-h152-k-no', 'max_size': [12032, 9024], 'min_size': [203, 100]}]",Open ⋅ Closes 10 PM,[],"['11\u202fAM–3:45\u202fPM', '6:30–10\u202fPM']","['11\u202fAM–4\u202fPM', '6–10\u202fPM']","['11\u202fAM–4\u202fPM', '6–10\u202fPM']","['11\u202fAM–4\u202fPM', '6–10\u202fPM']","['11\u202fAM–4\u202fPM', '6–10\u202fPM']","['11\u202fAM–4\u202fPM', '6–10\u202fPM']","['11\u202fAM–4\u202fPM', '6–10\u202fPM']",
0x3a39431c2aa2f41d:0xe02f0e4da18b073e,,Kv Restaurant,"Kv Restaurant, 31-32-69, Bangaramma Metta, Allipuram, Visakhapatnam, Andhra Pradesh 530020, India",17.7200952,83.29741419999999,,,Asia/Calcutta,,ChIJHfSiKhxDOToRPgeLoU0OL-A,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x3a39431c2aa2f41d:0xe02f0e4da18b073e,['Restaurant'],,"Visakhapatnam, Andhra Pradesh, India","[{'src': 'https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=PcVLr-63LsYCp9cWOboNUg&cb_client=search.gws-prod.gps&w=203&h=100&yaw=126.39692&pitch=0&thumbfov=100', 'max_size': None, 'min_size': [203, 100]}]",Open ⋅ Closes 10:30 PM,[],['10\u202fAM–10:30\u202fPM'],['8\u202fAM–10:30\u202fPM'],['8\u202fAM–10:30\u202fPM'],['8\u202fAM–10:30\u202fPM'],['8\u202fAM–10:30\u202fPM'],['8\u202fAM–10:30\u202fPM'],['8\u202fAM–10:30\u202fPM'],
0x3a39431956d9e8e9:0x5f30f5e3c3ba60a8,,Ashoka Restaurant,"Ashoka Restaurant, 30-13-11, Leelamahal Up Rd, Daba Gardens, Allipuram, Visakhapatnam, Andhra Pradesh 530020, India",17.7149981,83.2991859,1075.0,3.6,Asia/Calcutta,,ChIJ6ejZVhlDOToRqGC6w-P1MF8,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x3a39431956d9e8e9:0x5f30f5e3c3ba60a8,"['Biryani restaurant', 'Breakfast restaurant', 'Family restaurant', 'Fast food restaurant']",,"Visakhapatnam, Andhra Pradesh, India","[{'src': 'https://lh5.googleusercontent.com/p/AF1QipM71KMWvxXPgIwZWUC7wyjwPZpc622fg5Rc-GJk=w203-h135-k-no', 'max_size': [6000, 4000], 'min_size': [203, 100]}, {'src': 'https://lh5.googleusercontent.com/p/AF1QipPgbMNel3l2USU92OztgblfIzFOfzqwsIeVdPYC=w203-h135-k-no', 'max_size': [6000, 4000], 'min_size': [203, 100]}, {'src': 'https://lh5.googleusercontent.com/p/AF1QipOlQaoSpjLbAlon-ZNoqaadybw5Vex_jjkmIMqH=w203-h270-k-no', 'max_size': [3456, 4608], 'min_size': [203, 100]}, {'src': 'https://lh5.googleusercontent.com/p/AF1QipO12b8SGDVJis5DgeFr9SK5oGbK1gn5iJAWUPXu=w203-h114-k-no', 'max_size': [4160, 2340], 'min_size': [203, 100]}, {'src': 'https://lh5.googleusercontent.com/p/AF1QipOLbMcAj4O-SrpVW9YAao6kYJU6G4PjzsgNXIHc=w203-h152-k-no', 'max_size': [4032, 3024], 'min_size': [203, 100]}, {'src': 'https://lh5.googleusercontent.com/p/AF1QipO1KBVnNQlACwjMMTMFaFUaoHynb9H8Hyh4K1Mf=w203-h152-k-no', 'max_size': [4160, 3120], 'min_size': [203, 100]}, {'src': 'https://lh5.googleusercontent.com/p/AF1QipORKinfLHFQd_TBzjOcRr6b9ae9Ukn_YpYg6y2C=w203-h100-k-no-pi-20-ya263.57703-ro0-fo100', 'max_size': [6000, 3000], 'min_size': [203, 100]}, {'src': 'https://lh5.googleusercontent.com/p/AF1QipNm6mGW03btcj1XBzADAtfMl4sU5patutdN2Oxv=w203-h152-k-no', 'max_size': [4032, 3024], 'min_size': [203, 100]}, {'src': 'https://lh5.googleusercontent.com/p/AF1QipNHc7rRsGg3v6HV_tVeSunRZdqRddR6ZBlij0ND=w203-h152-k-no', 'max_size': [4160, 3120], 'min_size': [203, 100]}]",Open ⋅ Closes 11 PM,[],['8\u202fAM–11\u202fPM'],['8\u202fAM–11\u202fPM'],['8\u202fAM–11\u202fPM'],['8\u202fAM–11\u202fPM'],['8\u202fAM–11\u202fPM'],['8\u202fAM–11\u202fPM'],['8\u202fAM–11\u202fPM'],
0x3a39435babd5aa8f:0x18b2ea8d141b72eb,,Bismillah FAST food Restaurant,"P79R+4XX Bismillah FAST food Restaurant, Allipuram Main Rd, Beside Gokul Theater, Chavula Madum Area, Nerella Koneru, Allipuram, Visakhapatnam, Andhra Pradesh 530003, India",17.7178686,83.2924713,2.0,4.0,Asia/Calcutta,,ChIJj6rVq1tDOToR63IbFI3qshg,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x3a39435babd5aa8f:0x18b2ea8d141b72eb,['Fast food restaurant'],,"Visakhapatnam, Andhra Pradesh, India","[{'src': 'https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=0ga3NNrSFdS6JkEN-AT7HA&cb_client=search.gws-prod.gps&w=203&h=100&yaw=344.35666&pitch=0&thumbfov=100', 'max_size': None, 'min_size': [203, 100]}]",Open ⋅ Closes 12 AM,[],['Open 24 hours'],['Closed'],['Open 24 hours'],['Open 24 hours'],['Open 24 hours'],['Closed'],['Open 24 hours'],
